State,Area name,"Less than a high school diploma, 2013-17","High school diploma only, 2013-17","Some college or associate's degree, 2013-17","Bachelor's degree or higher, 2013-17","Percent of adults with less than a high school diploma, 2013-17","Percent of adults with a high school diploma only, 2013-17","Percent of adults completing some college or associate's degree, 2013-17","Percent of adults with a bachelor's degree or higher, 2013-17"
CA,San Luis Obispo County,"17,708","36,805","68,113","63,177",9.5,19.8,36.7,34
CA,San Mateo County,"60,194","84,393","135,551","264,198",11.1,15.5,24.9,48.5
CA,Santa Barbara County,"53,365","47,512","81,177","90,764",19.6,17.4,29.8,33.3
CA,Santa Clara County,"163,160","193,771","298,091","655,601",12.4,14.8,22.7,50
CA,Santa Cruz County,"24,138","27,591","55,291","70,607",13.6,15.5,31.1,39.8
CA,Shasta County,"11,656","32,185","54,537","26,715",9.3,25.7,43.6,21.4
CA,Sierra County,164,588,"1,066",495,7.1,25.4,46.1,21.4
CA,Siskiyou County,"3,393","7,966","13,186","7,204",10.7,25.1,41.5,22.7
CA,Solano County,"36,652","68,760","114,343","75,477",12.4,23.3,38.7,25.6
CA,Sonoma County,"43,758","68,000","123,283","120,262",12.3,19.1,34.7,33.8
CA,Stanislaus County,"74,765","94,817","110,302","56,202",22.2,28.2,32.8,16.7
CA,Sutter County,"13,186","15,390","22,375","10,817",21.3,24.9,36.2,17.5
CA,Tehama County,"6,882","13,966","16,070","6,195",16,32.4,37.3,14.4
CA,Trinity County,"1,033","3,219","3,880","1,966",10.2,31.9,38.4,19.5
CA,Tulare County,"83,599","68,866","77,226","36,891",31.4,25.8,29,13.8
CA,Tuolumne County,"3,799","11,949","16,767","8,420",9.3,29.2,41,20.6
CA,Ventura County,"90,044","106,376","182,707","183,259",16,18.9,32.5,32.6
CA,Yolo County,"17,242","23,432","33,153","50,405",13.9,18.9,26.7,40.6
CA,Yuba County,"8,316","11,443","19,195","7,628",17.9,24.6,41.2,16.4
CO,Colorado,"325,019","791,683","1,105,302","1,446,473",8.9,21.6,30.1,39.4
CO,Adams County,"54,006","87,917","97,054","71,613",17.4,28.3,31.2,23.1
CO,Alamosa County,"1,588","2,367","2,987","2,469",16.9,25.2,31.7,26.2
CO,Arapahoe County,"32,522","87,155","126,608","175,266",7.7,20.7,30,41.6
CO,Archuleta County,902,"2,210","2,869","3,508",9.5,23.3,30.2,37
CO,Baca County,379,695,976,558,14.5,26.6,37.4,21.4
CO,Bent County,689,"2,110","1,304",469,15.1,46.2,28.5,10.3
CO,Boulder County,"11,124","25,498","44,916","124,219",5.4,12.4,21.8,60.4
CO,Broomfield County,"1,846","6,410","12,258","23,541",4.2,14.5,27.8,53.4
CO,Chaffee County,"1,255","4,016","4,813","4,823",8.4,26.9,32.3,32.4
CO,Cheyenne County,128,434,473,290,9.7,32.8,35.7,21.9
CO,Clear Creek County,148,"1,459","2,199","3,300",2.1,20.5,30.9,46.4
CO,Conejos County,793,"1,602","1,870","1,013",15,30.4,35.4,19.2
CO,Costilla County,587,668,842,553,22.2,25.2,31.8,20.9
CO,Crowley County,594,"1,716","1,297",319,15.1,43.7,33,8.1
CO,Custer County,225,709,"1,432","1,180",6.3,20,40.4,33.3
CO,Delta County,"2,436","8,267","7,016","4,264",11.1,37.6,31.9,19.4
CO,Denver County,"64,356","84,948","109,198","224,626",13.3,17.6,22.6,46.5
CO,Dolores County,120,495,437,260,9.1,37.7,33.3,19.8
CO,Douglas County,"4,386","25,490","57,980","121,176",2.1,12.2,27.7,58
CO,Eagle County,"3,793","6,441","10,348","16,937",10.1,17.2,27.6,45.1
CO,Elbert County,632,"4,363","6,256","6,057",3.7,25.2,36.1,35
CO,El Paso County,"27,251","86,821","157,001","161,103",6.3,20.1,36.3,37.3
CO,Fremont County,"3,710","14,192","12,253","6,201",10.2,39,33.7,17.1
CO,Garfield County,"4,798","10,908","11,010","11,571",12.5,28.5,28.8,30.2
CO,Gilpin County,89,"1,017","1,743","1,643",2,22.6,38.8,36.6
CO,Grand County,508,"3,064","3,294","4,273",4.6,27.5,29.6,38.4
CO,Gunnison County,447,"1,792","2,552","5,563",4.3,17.3,24.6,53.7
CO,Hinsdale County,48,137,208,271,7.2,20.6,31.3,40.8
CO,Huerfano County,489,"1,367","2,071","1,215",9.5,26.6,40.3,23.6
CO,Jackson County,148,343,338,164,14.9,34.5,34,16.5
CO,Jefferson County,"22,845","83,488","122,509","173,550",5.7,20.7,30.4,43.1
CO,Kiowa County,42,373,305,191,4.6,40.9,33.5,21
CO,Kit Carson County,738,"2,190","1,762",882,13.2,39.3,31.6,15.8
CO,Lake County,716,"1,811","1,204","1,689",13.2,33.4,22.2,31.2
CO,La Plata County,"1,853","7,556","12,483","16,604",4.8,19.6,32.4,43.1
CO,Larimer County,"9,135","41,946","65,386","98,799",4.2,19.5,30.4,45.9
CO,Las Animas County,"1,311","2,972","3,956","2,083",12.7,28.8,38.3,20.2
CO,Lincoln County,495,"2,160",865,537,12.2,53.2,21.3,13.2
CO,Logan County,"1,745","4,639","5,432","2,776",12,31.8,37.2,19
CO,Mesa County,"9,930","28,686","35,223","27,526",9.8,28.3,34.7,27.2
CO,Mineral County,26,134,281,285,3.6,18.5,38.7,39.3
CO,Moffat County,873,"3,549","2,912","1,519",9.9,40.1,32.9,17.2
CO,Montezuma County,"1,809","5,315","5,906","5,072",10,29.4,32.6,28
CO,Montrose County,"3,100","9,688","9,380","6,790",10.7,33.5,32.4,23.4
CO,Morgan County,"3,540","5,672","5,851","3,120",19.5,31.2,32.2,17.2
CO,Otero County,"1,801","3,459","4,844","2,179",14.7,28.2,39.4,17.7
CO,Ouray County,75,651,"1,170","1,852",2,17.4,31.2,49.4
CO,Park County,483,"3,867","5,127","3,782",3.6,29.2,38.7,28.5
CO,Phillips County,311,916,"1,053",630,10.7,31.5,36.2,21.6
CO,Pitkin County,639,"1,945","2,680","8,315",4.7,14.3,19.7,61.2
CO,Prowers County,"1,465","2,017","3,094","1,255",18.7,25.8,39.5,16
CO,Pueblo County,"12,387","32,041","42,006","24,008",11.2,29,38,21.7
CO,Rio Blanco County,333,"1,390","1,645",892,7.8,32.6,38.6,20.9
CO,Rio Grande County,"1,305","2,203","2,450","1,846",16.7,28.2,31.4,23.7
CO,Routt County,699,"3,685","4,248","9,209",3.9,20.7,23.8,51.6
CO,Saguache County,886,"1,286","1,195","1,184",19.5,28.3,26.3,26
CO,San Juan County,15,162,127,129,3.5,37.4,29.3,29.8
CO,San Miguel County,376,815,"1,491","3,161",6.4,13.9,25.5,54.1
CO,Sedgwick County,153,497,662,344,9.2,30,40,20.8
CO,Summit County,"1,482","4,476","5,727","10,694",6.6,20,25.6,47.8
CO,Teller County,877,"4,562","6,368","6,122",4.9,25.4,35.5,34.1
CO,Washington County,235,"1,157","1,426",559,7,34.3,42.2,16.6
CO,Weld County,"22,369","49,614","60,802","49,047",12.3,27.3,33.4,27
CO,Yuma County,973,"2,150","2,129","1,397",14.6,32.3,32,21
